"Version","Task","Concept","Att 1 - Brand","Att 2 - Verified Buyer Ratings","Att 3 - Mattress Type","Att 4 - Firmness","Att 5 - Trial Period","Att 6 - Warranty","Att 7 - Price (Queen)"
11,9,2,10,1,5,4,4,3,7
11,9,3,3,3,4,1,2,2,2
11,9,4,12,2,1,5,3,4,5
11,10,1,9,5,2,5,3,4,3
11,10,2,4,4,1,3,1,2,7
11,10,3,7,3,3,1,4,1,6
11,10,4,5,2,4,2,2,3,1
11,11,1,15,3,5,4,4,3,5
11,11,2,11,1,4,5,1,2,4
11,11,3,13,5,1,1,2,1,3
11,11,4,2,4,3,3,3,4,6
11,12,1,14,5,3,5,2,3,4
11,12,2,6,3,4,3,1,1,1
11,12,3,8,2,2,2,3,2,2
11,12,4,1,1,1,1,4,4,5
12,1,1,11,2,2,2,2,3,7
12,1,2,4,4,5,4,1,2,6
12,1,3,1,3,4,1,4,1,2
12,1,4,9,5,1,5,3,4,3
12,2,1,16,5,4,5,1,2,3
12,2,2,2,1,3,4,2,4,2
12,2,3,3,2,2,3,3,1,6
12,2,4,12,4,5,2,4,3,5
12,3,1,13,2,3,2,4,3,7
12,3,2,7,3,5,1,1,4,3
12,3,3,6,4,1,4,3,2,1
12,3,4,5,1,2,3,2,1,4
12,4,1,10,3,5,2,1,2,6
12,4,2,8,1,1,5,3,3,4
12,4,3,15,2,3,1,4,1,1
12,4,4,14,5,4,3,2,4,2
12,5,1,7,4,2,4,4,2,7
12,5,2,4,1,5,1,2,1,3
12,5,3,2,2,1,3,3,4,5
12,5,4,1,5,4,5,1,3,1
12,6,1,10,1,1,1,4,3,2
12,6,2,5,5,5,3,1,1,7
12,6,3,16,3,2,2,3,2,5
12,6,4,12,4,3,4,2,4,6
12,7,1,8,1,5,3,3,1,1
12,7,2,3,3,3,5,1,2,5
12,7,3,6,4,2,2,4,4,2
12,7,4,14,2,4,4,2,3,4
12,8,1,11,3,2,5,4,4,4
12,8,2,15,5,4,2,3,3,6
12,8,3,13,4,1,1,2,2,3
12,8,4,9,2,3,4,1,1,7
12,9,1,14,5,1,2,3,2,3
12,9,2,4,3,3,5,1,4,6
